online_order,book_table,rate,votes,approx_cost_for_two_people,restaurant_type,location,has_phone
0,0,3.2,4,200.0,Delivery,Jayanagar,1
0,1,4.1,473,800.0,Delivery,Brigade Road,1
1,0,3.9,170,400.0,Delivery,HSR,1
0,0,3.7,0,600.0,Delivery,Marathahalli,1
1,0,3.9,393,750.0,Delivery,Koramangala 4th Block,1
1,0,3.8,117,600.0,Delivery,Koramangala 7th Block,1
1,0,3.2,128,400.0,Delivery,Koramangala 4th Block,1
0,0,3.6,17,350.0,Delivery,Whitefield,0
1,0,3.9,181,400.0,Delivery,Jayanagar,1
1,0,3.6,68,450.0,Delivery,Kalyan Nagar,1
1,0,2.9,17,600.0,Delivery,Brigade Road,1
1,0,4.2,150,800.0,Delivery,Banashankari,0
1,1,4.5,860,600.0,Buffet,Electronic City,1
1,0,2.8,100,800.0,Delivery,Kammanahalli,1
0,0,3.6,21,300.0,Dine-out,Malleshwaram,1
1,0,3.3,47,400.0,Delivery,Jayanagar,1
1,0,4.1,739,500.0,Delivery,BTM,1
0,0,3.8,35,200.0,Delivery,Koramangala 6th Block,1
1,0,2.9,44,400.0,Delivery,Brookefield,1
1,0,3.2,18,300.0,Dine-out,JP Nagar,1
1,0,4.0,463,500.0,Delivery,Koramangala 4th Block,1
1,0,4.5,0,300.0,Delivery,Jayanagar,1
0,0,3.7,0,150.0,Delivery,Frazer Town,0
0,0,4.4,168,600.0,Desserts,Koramangala 4th Block,1
1,0,4.6,277,400.0,Delivery,Koramangala 4th Block,1
0,0,4.2,676,650.0,Delivery,Koramangala 5th Block,1
0,0,3.7,0,1200.0,Pubs and bars,Koramangala 5th Block,1
0,0,3.4,7,700.0,Dine-out,Electronic City,1
1,0,3.0,40,200.0,Desserts,Lavelle Road,1
1,1,3.9,485,700.0,Buffet,Koramangala 6th Block,1
1,0,3.6,52,600.0,Delivery,Residency Road,1
0,1,4.4,256,1500.0,Dine-out,Brigade Road,1
1,0,4.1,141,1200.0,Cafes,Koramangala 5th Block,1
1,0,4.0,209,500.0,Dine-out,Kammanahalli,1
0,0,3.9,62,1100.0,Dine-out,Frazer Town,1
1,0,3.7,115,550.0,Dine-out,BTM,1
0,0,3.7,62,200.0,Delivery,Residency Road,1
1,0,3.4,6,400.0,Delivery,Jayanagar,1
1,0,3.6,24,300.0,Delivery,Malleshwaram,1
1,0,2.6,54,600.0,Delivery,HSR,1
1,1,4.4,193,1000.0,Dine-out,Koramangala 7th Block,1
1,0,3.7,110,450.0,Dine-out,Indiranagar,1
0,0,3.3,4,250.0,Dine-out,Frazer Town,1
0,0,3.1,39,400.0,Delivery,Bannerghatta Road,1
